bounce,category,category_rank,country_rank,global_rank,organic_search,paid_search,ppv,time,traffic_direct,traffic_display,traffic_mail,traffic_referrals,traffic_search,traffic_social,url,visits
33.45,Vehicles,1036,94899,378908,45.78,54.22,3.91,00:03:31,14.99,1.23,0,14.64,67.42,1.72,tirechain.com,75300
29.14,Vehicles,918,14264,198221,98.55,1.45,5.46,00:03:27,16.02,0,5.51,6.24,72.23,0,newreg.co.uk,144000
39.99,Vehicles,1822,22066,92905,74.21,25.79,14.42,00:04:12,18.16,0,6.09,17.7,56.59,1.46,broncograveyard.com,223000
35.59,Vehicles,4605,63318,226462,86.78,13.22,8.88,00:02:41,24.97,0.07,0,12.63,60.39,1.95,procivic.com,97900
23.04,Vehicles,4561,56085,224464,100,0,6.53,00:03:47,27,0,0.17,14.77,56.58,1.48,onlinetires.com,105100
49.2,Vehicles,5368,67069,261304,96.05,3.95,4.63,00:03:49,48.28,0,0,20.59,29.51,1.62,zzperformance.com,117400
33.71,Vehicles,8064,42576,378648,84.7,15.3,3.78,00:02:29,10.53,0,0.13,15.38,73.39,0.56,dynamicsounds.co.uk,67400
26.78,Vehicles,7426,229912,350073,100,0,7.13,00:05:36,26.81,0,0,22.37,50.64,0.19,racetech.com,62900
30.68,Vehicles,452,120114,356921,99.86,0.14,5.46,00:03:21,31.44,0,3.86,14.86,48.69,1.14,kuryakyn.com,59100
28.94,Vehicles,314,108333,273164,100,0,5.44,00:02:47,19.78,0,1.99,16.34,60.75,1.13,touratech-usa.com,90300
36.76,Vehicles,1172,50184,200356,70.13,29.87,6.3,00:02:19,18.7,0.43,0.21,9.23,71,0.43,awdirect.com,134000
48.45,Vehicles,65,98456,368816,66.7,33.3,2.64,00:01:22,18.58,0.1,0.32,9.56,69.84,1.61,landfallnavigation.com,91700
19.49,Vehicles,6458,92114,308404,100,0,6.28,00:03:52,18.76,0,3.05,16.25,61.37,0.58,dinancars.com,69300
53.12,Vehicles,7614,130786,358359,100,0,1.79,00:01:44,13.16,0,0.53,6.15,62.92,17.24,mercedessource.com,120800
33.55,Vehicles,491,45778,183877,95.1,4.9,6.12,00:03:20,14.84,0.07,0.21,6.08,78.59,0.2,wheelfire.com,135000
50.41,Vehicles,5338,80020,260061,100,0,5.43,00:05:54,24.93,0,0.45,10.03,63.8,0.78,hondata.com,97200
48.85,Vehicles,43247,120943,393131,95.14,4.86,2.28,00:02:02,32.56,0.06,5.46,20,37.4,4.52,radial.com,97200
37.55,Vehicles,3279,137718,336714,98.99,1.01,2.75,00:01:53,25.62,0,0.43,19.87,53.28,0.8,gromaudio.com,93900
29.56,Vehicles,7145,89900,337664,97.67,2.33,5.16,00:02:05,18.05,0,2.03,9.78,70.14,0,westcoastcorvette.com,76600
25.99,Vehicles,4686,66900,230166,100,0,5.23,00:02:57,19.71,0,2.05,22.34,54.89,1.01,xenondepot.com,113000
35.71,Vehicles,5181,66210,252937,68.37,31.63,4.76,00:04:06,10.11,0.4,1.4,6.05,81.64,0.4,justforjeeps.com,108100
32.41,Vehicles,21767,58931,242925,31.35,68.65,4.68,00:04:23,13.02,3.11,0,10.34,69.8,3.73,tonneaucoversworld.com,105700
37.23,Vehicles,9083,54665,424953,100,0,2.07,00:02:37,20.49,0,0,13.66,65.13,0.73,alloywheelsdirect.net,89300
33.24,Vehicles,8047,96291,377543,100,0,2.9,00:01:35,23.36,0,0,14.61,61.18,0.84,ironrockoffroad.com,103900
57.01,Vehicles,4564,57454,224609,67.68,32.32,2.21,00:01:56,17,0.88,0.24,7.19,74.52,0.16,suspensionconnection.com,189300
35.39,Vehicles,8588,121572,401100,100,0,3.34,00:01:40,13.39,0,0,6.92,79.35,0.34,turbokits.com,75100
37.93,Vehicles,4119,304338,423108,100,0,3.02,00:01:34,19.59,0,0.03,9.4,70.74,0.24,yuasabatteries.com,65900
55.28,Vehicles,5643,21586,273512,64.13,35.87,2.15,00:01:23,11.14,0,0,5.06,83.8,0,lkperformance.co.uk,144400
48.18,Vehicles,868,101686,415421,57.79,42.21,1.62,00:00:45,14.15,0,31.78,30.75,22.87,0.45,carchex.com,97800
17.14,Vehicles,1695,160187,608602,99.47,0.53,5,00:03:10,43.82,0,0,41.34,14.83,0,bigwheels.net,32200
48.74,Vehicles,928,85495,341865,70.64,29.36,2.26,00:01:44,19.76,12.64,0,3.85,63.03,0.72,oewheelsllc.com,111800
42.17,Vehicles,5408,68261,262745,70.2,29.8,2.3,00:01:32,9.46,0,1.72,4.23,84.27,0.31,wheelsandcaps.com,149000
51.49,Vehicles,3712,107460,382007,76.56,23.44,1.83,00:00:50,20.49,0.1,0.19,1.72,77.14,0.36,qualitymobilevideo.com,100600
21.66,Vehicles,7021,109407,332301,56.77,43.23,4.69,00:02:14,30.78,1.03,1.32,8.8,58.06,0,carcovers.com,83200
23.83,Vehicles,338,105259,286542,100,0,7.27,00:03:06,16.01,0,0.58,12.42,70.68,0.31,vanceandhines.com,85500
37.64,Vehicles,567,55684,211212,100,0,3.43,00:03:08,10.74,0,2.35,8.05,78.85,0,partrequest.com,153200
15.08,Vehicles,10176,138353,473128,100,0,9.26,00:04:24,24.5,0,0,12.54,60.33,2.63,purefjcruiser.com,36300
40.97,Vehicles,4890,59521,239446,95.83,4.17,3.82,00:03:01,11.56,0,0,6.43,82.01,0,rockymountainsusp.com,144700
37.28,Vehicles,5340,68203,260175,76.68,23.32,3.31,00:02:10,41.29,0.05,0.16,7.98,49.6,0.91,covercraft.com,124700
48.58,Vehicles,5082,67486,248523,100,0,2.39,00:01:33,6.4,0,0,7.1,86.13,0.37,uneedapart.com,154500
25.87,Vehicles,8359,104371,391037,94.35,5.65,6.42,00:01:52,20.63,0.15,0,16.25,62.93,0.03,bajadesigns.com,61900
34.33,Vehicles,853,107364,312750,100,0,6.05,00:04:12,26.36,0,0,21.4,51.35,0.89,courtesyparts.com,68700
30.72,Vehicles,1072,52233,393648,100,0,4.37,00:02:10,25.52,0,0,6.86,66.34,1.29,performancealloys.com,62900
34.56,Vehicles,258,82366,320719,96.94,3.06,4.85,00:04:50,36.11,1.39,0,12.67,49.52,0.31,valentine1.com,62600
49.28,Vehicles,5918,102140,285277,100,0,3.92,00:01:06,13.72,0,0.37,15.81,68.34,1.77,delorean.com,113500
40.39,Vehicles,6691,80133,318401,99.83,0.17,3.17,00:02:51,26,0.24,0.27,9.33,62.5,1.65,rustysoffroad.com,109100
34.18,Vehicles,263,66439,242336,95,5,4.71,00:03:06,2.1,0,33.72,11.93,49.91,2.34,motorcyclegear.com,112300
30.72,Vehicles,12285,137012,561815,86.22,13.78,2.66,00:01:37,17.61,1.71,3.53,25.54,51.61,0,endurancewarranty.com,50400
38.93,Vehicles,9027,56016,422647,95.08,4.92,3.1,00:02:11,21.94,0,0,6.88,70.65,0.53,design911.co.uk,70500
32.23,Vehicles,726,68222,264026,61.39,38.61,4.53,00:02:32,20.43,0,0,4.04,75.53,0,sonshonda.com,101700
51.63,Vehicles,513,50174,194205,94.83,5.17,3.46,00:01:33,17.19,0.31,0,8.23,74.27,0,performanceplustire.com,177500
35.2,Vehicles,4975,60618,243867,72.25,27.75,5.39,00:04:42,30.04,0,6.76,14.23,47.95,1.02,griotsgarage.com,95500
38.69,Vehicles,13094,156443,597316,100,0,4.61,00:02:08,21.89,0,0.52,14.29,63.31,0,genracer.com,36400
27.09,Vehicles,884,105092,322924,97.12,2.88,7.79,00:04:16,25.4,0,10.76,22.61,40.21,1.02,cip1.com,58700
40.48,Vehicles,7073,102829,334696,80.22,19.78,3.59,00:02:03,30.83,0.48,1.43,10.15,53.43,3.68,rvinyl.com,98500
49.26,Vehicles,3173,84630,325022,46.51,53.49,2.43,00:02:36,27.75,1.75,2.71,7.7,59.73,0.37,rearviewsafety.com,105800
13.85,Vehicles,11908,76978,546325,92.94,7.06,8.08,00:06:02,25.06,0,0,33.81,41.13,0,jagspares.co.uk,31600
16.7,Vehicles,3161,45553,157665,100,0,8.98,00:05:35,13.79,0,5.9,69.86,10.1,0.35,parts123.com,145800
